Fri Dec 19 20:04:24 2008
"time","K","Pa"
"12/19-20:12:22",5.059000,4.914000,45.978000,0.000064
"12/19-20:12:27",5.059000,4.914000,45.977000,0.000062
"12/19-20:12:32",5.059000,4.912000,45.978000,0.000062
"12/19-20:12:37",5.059000,4.912000,45.978000,0.000064
"12/19-20:12:43",5.059000,4.914000,45.979000,0.000063
"12/19-20:12:48",5.059000,4.914000,45.981000,0.000062
"12/19-20:12:53",5.059000,4.913000,45.979000,0.000064
"12/19-20:12:59",5.059000,4.914000,45.982000,0.000063
"12/19-20:13:04",5.059000,4.914000,45.981000,0.000062
"12/19-20:13:09",5.059000,4.913000,45.984000,0.000063
"12/19-20:13:15",5.058000,4.913000,45.984000,0.000064
"12/19-20:13:20",5.059000,4.914000,45.986000,0.000062
"12/19-20:13:25",5.059000,4.914000,45.989000,0.000062
"12/19-20:13:30",5.060000,4.913000,45.986000,0.000064
"12/19-20:13:36",5.060000,4.915000,45.988000,0.000063
"12/19-20:13:41",5.060000,4.915000,45.988000,0.000061
"12/19-20:13:46",5.060000,4.914000,45.990000,0.000062
"12/19-20:13:51",5.060000,4.914000,45.991000,0.000064
"12/19-20:13:57",5.060000,4.915000,45.992000,0.000062
"12/19-20:14:02",5.060000,4.913000,45.991000,0.000062
"12/19-20:14:07",5.059000,4.913000,45.993000,0.000063
"12/19-20:14:13",5.059000,4.913000,45.992000,0.000062
"12/19-20:14:18",5.058000,4.913000,45.993000,0.000061
"12/19-20:14:23",5.057000,4.912000,45.993000,0.000062
"12/19-20:14:29",5.058000,4.912000,45.997000,0.000063
"12/19-20:14:34",5.058000,4.913000,45.994000,0.000061
"12/19-20:14:39",5.058000,4.913000,45.997000,0.000061
"12/19-20:14:44",5.058000,4.912000,45.996000,0.000063
"12/19-20:14:50",5.058000,4.913000,45.997000,0.000063
"12/19-20:14:55",5.058000,4.913000,45.996000,0.000061
"12/19-20:15:00",5.058000,4.912000,45.997000,0.000062
"12/19-20:15:05",5.058000,4.912000,45.999000,0.000063
"12/19-20:15:11",5.058000,4.913000,45.999000,0.000061
