  99.00	   0.26
  98.00	   0.07
  97.00	  -0.03
  96.00	  -0.16
  95.00	  -0.24
  94.00	   0.31
  93.00	  -0.06
  92.00	  -0.02
  91.00	   0.56
  90.00	  -0.06
  89.00	  -0.07
  88.00	   0.18
  87.00	   0.61
  86.00	   1.56
  85.00	   3.13
  84.00	   2.43
  83.00	   0.90
  82.00	   1.43
  81.00	   1.97
  80.00	   1.20
  79.00	   0.78
  78.00	   0.98
  77.00	   0.67
  76.00	   0.62
  75.00	   0.94
  74.00	   1.51
  73.00	   1.58
  72.00	   1.76
  71.00	   1.62
  70.00	   1.22
  69.00	   0.57
  68.00	   0.14
  67.00	   0.40
  66.00	  -0.13
  65.00	  -0.30
  64.00	   0.34
  63.00	   0.80
  62.00	   0.18
  61.00	  -1.16
  60.00	  -2.44
  59.00	  -1.70
  58.00	  -0.05
  57.00	   0.84
  56.00	   1.63
  55.00	   2.90
  54.00	   2.72
  53.00	   2.50
  52.00	   3.69
  51.00	   4.06
  50.00	   5.12
  49.00	   6.15
  48.00	   6.11
  47.00	   5.83
  46.00	   5.92
  45.00	   6.53
  44.00	   7.08
  43.00	   7.42
  42.00	   5.06
  41.00	   4.28
  40.00	   5.64
  39.00	   6.57
  38.00	   6.45
  37.00	   5.62
  36.00	   3.24
  35.00	   2.56
  34.00	   3.17
  33.00	   2.56
  32.00	   2.45
  31.00	   1.55
  30.00	   1.16
  29.00	   1.02
  28.00	   0.51
  27.00	   0.77
  26.00	   0.61
  25.00	   0.89
  24.00	   0.19
  23.00	   0.42
  22.00	   0.28
  21.00	  -0.51
  20.00	  -0.00
  19.00	   0.27
  18.00	   0.96
  17.00	   0.63
  16.00	   0.39
  15.00	   0.86
  14.00	   1.46
  13.00	   2.81
  12.00	   2.53
  11.00	   2.16
  10.00	   0.75
   9.00	   0.16
   8.00	   0.87
   7.00	   0.24
   6.00	   0.41
   5.00	   0.85
   4.00	  -0.59
   3.00	  -0.19
   2.00	   1.11
   1.00	   1.18
   0.00	  -0.08
