  99.00	  -0.22
  98.00	   0.12
  97.00	   0.03
  96.00	  -0.32
  95.00	   0.09
  94.00	  -1.03
  93.00	  -0.67
  92.00	  -1.16
  91.00	  -0.43
  90.00	   0.78
  89.00	   0.99
  88.00	   1.24
  87.00	   0.08
  86.00	  -0.75
  85.00	  -0.34
  84.00	   0.21
  83.00	  -0.10
  82.00	   0.55
  81.00	   1.33
  80.00	   0.70
  79.00	   0.25
  78.00	   0.55
  77.00	   0.09
  76.00	  -0.88
  75.00	   0.11
  74.00	  -0.58
  73.00	   0.06
  72.00	   0.44
  71.00	  -0.45
  70.00	  -0.51
  69.00	  -0.33
  68.00	   0.53
  67.00	   0.40
  66.00	  -0.70
  65.00	  -0.46
  64.00	  -0.62
  63.00	  -0.49
  62.00	  -1.34
  61.00	  -0.73
  60.00	   0.13
  59.00	   0.62
  58.00	   0.67
  57.00	  -0.23
  56.00	   0.08
  55.00	  -0.56
  54.00	  -0.35
  53.00	   0.24
  52.00	  -0.31
  51.00	  -0.11
  50.00	   2.52
  49.00	   4.06
  48.00	   3.78
  47.00	   4.34
  46.00	   4.09
  45.00	   5.27
  44.00	   6.51
  43.00	   8.22
  42.00	   6.53
  41.00	   4.41
  40.00	   3.02
  39.00	   0.93
  38.00	   1.95
  37.00	   1.74
  36.00	   0.28
  35.00	   0.47
  34.00	   0.62
  33.00	   0.25
  32.00	  -0.42
  31.00	  -0.94
  30.00	   0.84
  29.00	   2.24
  28.00	   0.17
  27.00	  -0.30
  26.00	  -0.33
  25.00	   0.43
  24.00	  -0.19
  23.00	  -0.63
  22.00	  -0.06
  21.00	   1.02
  20.00	   1.89
  19.00	   0.97
  18.00	   0.11
  17.00	  -1.19
  16.00	  -0.55
  15.00	   0.82
  14.00	   1.84
  13.00	   2.12
  12.00	   1.57
  11.00	   1.14
  10.00	   0.78
   9.00	   0.60
   8.00	   0.40
   7.00	  -0.38
   6.00	  -0.40
   5.00	  -0.91
   4.00	  -0.69
   3.00	  -0.39
   2.00	  -0.99
   1.00	  -0.77
   0.00	  -0.70
