  99.00	   1.16
  98.00	   0.39
  97.00	  -0.42
  96.00	  -0.72
  95.00	  -0.01
  94.00	   0.61
  93.00	   1.24
  92.00	   1.14
  91.00	   0.77
  90.00	   0.80
  89.00	  -0.41
  88.00	  -0.54
  87.00	   1.22
  86.00	   0.92
  85.00	   1.00
  84.00	   1.73
  83.00	   1.77
  82.00	  -0.29
  81.00	  -0.60
  80.00	   0.17
  79.00	  -1.29
  78.00	  -0.12
  77.00	   0.70
  76.00	   1.39
  75.00	   1.48
  74.00	   0.97
  73.00	  -0.65
  72.00	  -2.01
  71.00	  -0.74
  70.00	  -0.53
  69.00	  -0.73
  68.00	  -0.55
  67.00	  -0.17
  66.00	  -0.05
  65.00	  -0.36
  64.00	  -0.74
  63.00	  -1.07
  62.00	   0.66
  61.00	   1.84
  60.00	   1.76
  59.00	   0.44
  58.00	  -0.90
  57.00	  -0.56
  56.00	  -0.07
  55.00	   0.44
  54.00	   1.01
  53.00	   1.82
  52.00	   1.84
  51.00	   2.45
  50.00	   3.11
  49.00	   1.87
  48.00	   0.72
  47.00	   2.95
  46.00	   4.99
  45.00	   4.60
  44.00	   3.19
  43.00	   1.11
  42.00	   0.68
  41.00	   0.96
  40.00	   1.36
  39.00	   1.56
  38.00	   2.07
  37.00	   0.97
  36.00	   1.21
  35.00	   2.04
  34.00	   2.59
  33.00	   4.10
  32.00	   5.21
  31.00	   3.61
  30.00	   1.53
  29.00	   0.01
  28.00	   0.49
  27.00	  -0.08
  26.00	  -0.39
  25.00	   0.22
  24.00	   0.61
  23.00	   1.31
  22.00	   0.55
  21.00	   0.99
  20.00	  -0.04
  19.00	  -1.39
  18.00	  -0.87
  17.00	  -1.03
  16.00	   0.06
  15.00	   1.09
  14.00	   3.47
  13.00	   3.50
  12.00	   0.96
  11.00	  -0.39
  10.00	   0.46
   9.00	   0.51
   8.00	   0.37
   7.00	   0.93
   6.00	   0.14
   5.00	  -0.26
   4.00	   0.42
   3.00	  -0.67
   2.00	  -0.84
   1.00	  -0.41
   0.00	   0.59
