#This file was generated by RegrexTextFilter with ser7ToTime.xml. 
#
#
#
#
#
#
#
#
#
#
#
#
#
#
#
#
#
#
#
#
#
#
#
#
#
#
#
#
#
#
#
#
#
#
#
#
#
#
#
#
#
#
#
#
#
#
#
#
#
#
#
#
#
#
#
#
#
#
#
#
#
#
#
#
#
#
#
#
#
#
#
#
#
#
#
#
#
#
#
#
#
#
#
#
#
#
#
#
#
#
#
#
#
#
#
#
#
#
#
#
#
#
#
#
#
#
#
#
#
#
#
20150610, 57183, 34, -0.652
20150611, 57184, 34, -0.653
20150612, 57185, 34, -0.654
20150613, 57186, 34, -0.654
20150614, 57187, 34, -0.655
20150615, 57188, 34, -0.656
20150616, 57189, 34, -0.656
20150617, 57190, 34, -0.656
20150618, 57191, 34, -0.657
20150619, 57192, 34, -0.657
20150620, 57193, 34, -0.657
20150621, 57194, 34, -0.657
20150622, 57195, 34, -0.658
20150623, 57196, 34, -0.658
20150624, 57197, 34, -0.658
20150625, 57198, 34, -0.659
20150626, 57199, 34, -0.659
20150627, 57200, 34, -0.659
20150628, 57201, 34, -0.660
20150629, 57202, 34, -0.660
20150630, 57203, 34, -0.660
20150701, 57204, 34, -0.660
20150702, 57205, 34, -0.660
20150703, 57206, 34, -0.660
20150704, 57207, 34, -0.660
20150705, 57208, 34, -0.661
20150706, 57209, 34, -0.661
20150707, 57210, 34, -0.662
20150708, 57211, 34, -0.662
20150709, 57212, 34, -0.663
20150710, 57213, 34, -0.663
20150711, 57214, 34, -0.664
20150712, 57215, 34, -0.664
20150713, 57216, 34, -0.664
20150714, 57217, 34, -0.664
20150715, 57218, 34, -0.664
20150716, 57219, 34, -0.664
20150717, 57220, 34, -0.664
20150718, 57221, 34, -0.665
20150719, 57222, 34, -0.665
20150720, 57223, 34, -0.665
20150721, 57224, 34, -0.666
20150722, 57225, 34, -0.666
20150723, 57226, 34, -0.666
20150724, 57227, 34, -0.667
20150725, 57228, 34, -0.667
20150726, 57229, 34, -0.668
20150727, 57230, 34, -0.668
20150728, 57231, 34, -0.668
20150729, 57232, 34, -0.668
20150730, 57233, 34, -0.669
20150731, 57234, 34, -0.669
20150801, 57235, 34, -0.670
20150802, 57236, 34, -0.671
20150803, 57237, 34, -0.672
20150804, 57238, 34, -0.673
20150805, 57239, 34, -0.674
20150806, 57240, 34, -0.675
20150807, 57241, 34, -0.675
20150808, 57242, 34, -0.676
20150809, 57243, 34, -0.676
20150810, 57244, 34, -0.677
20150811, 57245, 34, -0.677
20150812, 57246, 34, -0.677
20150813, 57247, 34, -0.677
20150814, 57248, 34, -0.677
20150815, 57249, 34, -0.677
20150816, 57250, 34, -0.677
20150817, 57251, 34, -0.678
20150818, 57252, 34, -0.678
20150819, 57253, 34, -0.678
20150820, 57254, 34, -0.679
20150821, 57255, 34, -0.679
20150822, 57256, 34, -0.680
20150823, 57257, 34, -0.680
20150824, 57258, 34, -0.680
20150825, 57259, 34, -0.681
20150826, 57260, 34, -0.681
20150827, 57261, 34, -0.681
20150828, 57262, 34, -0.682
20150829, 57263, 34, -0.683
20150830, 57264, 34, -0.684
20150831, 57265, 34, -0.686
20150901, 57266, 34, -0.687
20150902, 57267, 34, -0.689
20150903, 57268, 34, -0.690
20150904, 57269, 34, -0.691
20150905, 57270, 34, -0.691
20150906, 57271, 34, -0.692
20150907, 57272, 34, -0.692
20150908, 57273, 34, -0.693
20150909, 57274, 34, -0.694
20150910, 57275, 34, -0.694
20150911, 57276, 34, -0.695
20150912, 57277, 34, -0.696
20150913, 57278, 34, -0.697
20150914, 57279, 34, -0.698
20150915, 57280, 34, -0.699
20150916, 57281, 34, -0.700
20150917, 57282, 34, -0.701
20150918, 57283, 34, -0.702
20150919, 57284, 34, -0.703
20150920, 57285, 34, -0.704
20150921, 57286, 34, -0.705
20150922, 57287, 34, -0.706
20150923, 57288, 34, -0.707
20150924, 57289, 34, -0.708
20150925, 57290, 34, -0.710
20150926, 57291, 34, -0.711
20150927, 57292, 34, -0.713
20150928, 57293, 34, -0.715
20150929, 57294, 34, -0.716
20150930, 57295, 34, -0.718
20151001, 57296, 34, -0.719
20151002, 57297, 34, -0.720
20151003, 57298, 34, -0.721
20151004, 57299, 34, -0.722
20151005, 57300, 34, -0.723
20151006, 57301, 34, -0.724
20151007, 57302, 34, -0.724
20151008, 57303, 34, -0.725
20151009, 57304, 34, -0.726
20151010, 57305, 34, -0.727
20151011, 57306, 34, -0.729
20151012, 57307, 34, -0.730
20151013, 57308, 34, -0.731
20151014, 57309, 34, -0.732
20151015, 57310, 34, -0.733
20151016, 57311, 34, -0.734
20151017, 57312, 34, -0.735
20151018, 57313, 34, -0.736
20151019, 57314, 34, -0.737
20151020, 57315, 34, -0.738
20151021, 57316, 34, -0.739
20151022, 57317, 34, -0.740
20151023, 57318, 34, -0.741
20151024, 57319, 34, -0.743
20151025, 57320, 34, -0.745
20151026, 57321, 34, -0.746
20151027, 57322, 34, -0.748
20151028, 57323, 34, -0.750
20151029, 57324, 34, -0.751
20151030, 57325, 34, -0.752
20151031, 57326, 34, -0.753
20151101, 57327, 34, -0.754
20151102, 57328, 34, -0.755
20151103, 57329, 34, -0.756
20151104, 57330, 34, -0.757
20151105, 57331, 34, -0.758
20151106, 57332, 34, -0.759
20151107, 57333, 34, -0.760
20151108, 57334, 34, -0.761
20151109, 57335, 34, -0.762
20151110, 57336, 34, -0.764
20151111, 57337, 34, -0.765
20151112, 57338, 34, -0.766
20151113, 57339, 34, -0.767
20151114, 57340, 34, -0.768
20151115, 57341, 34, -0.769
20151116, 57342, 34, -0.771
20151117, 57343, 34, -0.772
20151118, 57344, 34, -0.773
20151119, 57345, 34, -0.775
20151120, 57346, 34, -0.776
20151121, 57347, 34, -0.778
20151122, 57348, 34, -0.780
20151123, 57349, 34, -0.782
20151124, 57350, 34, -0.783
20151125, 57351, 34, -0.785
20151126, 57352, 34, -0.786
20151127, 57353, 34, -0.787
20151128, 57354, 34, -0.789
20151129, 57355, 34, -0.790
20151130, 57356, 34, -0.791
20151201, 57357, 34, -0.792
20151202, 57358, 34, -0.793
20151203, 57359, 34, -0.794
20151204, 57360, 34, -0.795
20151205, 57361, 34, -0.796
20151206, 57362, 34, -0.797
20151207, 57363, 34, -0.798
20151208, 57364, 34, -0.799
20151209, 57365, 34, -0.800
20151210, 57366, 34, -0.801
20151211, 57367, 34, -0.802
20151212, 57368, 34, -0.802
20151213, 57369, 34, -0.803
20151214, 57370, 34, -0.803
20151215, 57371, 34, -0.804
20151216, 57372, 34, -0.805
20151217, 57373, 34, -0.806
20151218, 57374, 34, -0.807
20151219, 57375, 34, -0.809
20151220, 57376, 34, -0.810
20151221, 57377, 34, -0.812
20151222, 57378, 34, -0.813
20151223, 57379, 34, -0.814
20151224, 57380, 34, -0.815
20151225, 57381, 34, -0.816
20151226, 57382, 34, -0.817
20151227, 57383, 34, -0.818
20151228, 57384, 34, -0.819
20151229, 57385, 34, -0.820
20151230, 57386, 34, -0.821
20151231, 57387, 34, -0.823
20160101, 57388, 34, -0.824
#
#
#
#
#
#
#
#
#
#
#
#
#
#
#
#
#
#
#
#
#
#
#
#
#
#
#
#
#
#
#
#
#
#
#
#
#
#
#
#
#
#
#
#
#
#
#
#
#
#
#
#
#
#
#
#
#
#
#
#
#
#
#
#
#
#
#
#
#
#
#
#
#
#
#
#
#
#
#
#
#
#
#
#
#
#
#
#
#
#
#
#
#
#
#
